Tipo;País;Bodega;Nombre del Vino / Gama;Precio (MXN);Imagen
BLANCOS;;;;;
Blancos;Argentina;Mosquita Muerta;Mosquita Muerta Blend de Blancas;1936;mosquita-muerta-blend-de-blancas.png
Blancos;Chile;Casas Patronales;Casas Patronales Gran Reserva Chardonnay;876;casas-patronales-gran-reserva-chardonnay.png
Blancos;Chile;Casas Patronales;Casas Patronales Gran Reserva Sauvignon Blanc;876;casas-patronales-gran-reserva-sauvignon-blanc.png
Blancos;Chile;Casas Patronales (Maucho);Maucho Reserva Viognier;684;maucho-reserva-viognier.png
Blancos;Chile;Viña Casablanca;Viña Casablanca Nimbus Single Vineyard Chardonnay;867;vina-casa-blanca-nimbus-single-vineyard-chardonnay.png
Blancos;Chile;Viña Casablanca;Viña Casablanca Nimbus Single Vineyard Sauvignon Blanc;867;vina-casa-blanca-nimbus-single-vineyard-sauvignon-blanc.png
Blancos;España;Paco & Lola;Paco & Lola Albariño;1333;paco-y-lola-albarino.png
Blancos;España;Monteabellón (Avaniel);Avaniel DO Rueda Verdejo;740;avaniel-do-rueda-verdejo.png
Blancos;España;Viña Pomal;Viña Pomal Blanco;692;vina-pomal-blanco.png
Blancos;Francia;Manuel Olivier;Manuel Olivier Bourgogne Hautes-Côtes De Nuits Blanc;2414;manuel-olivier-bourgogne-hautes-cotes-de-nuits-blanc.png
Blancos;Francia;Manuel Olivier;Manuel Olivier Bourgogne Blanc;1591;manuel-olivier-bourgogne-blanc.png
Blancos;Francia;Bestheim;Bestheim Riesling Des Chasseurs De Lune;1296;bestheim-riesling-des-chasseurs-de-lune.png
Blancos;Francia;Bestheim;Bestheim Gewurztraminer Alsacia;1294;bestheim-gewurztraminer-alsacia.png
Blancos;Italia;Alessandro Berselli;Alessandro Berselli Signature Collection Sauvignon Blanc;1984;alessandro-berselli-signature-collection-sauvignon-blanc.png
Blancos;Italia;Bottega;Bottega Pinot Grigio Delle Venezie;688;bottega-pinot-grigio-delle-venezie.png
Blancos;México;Altotinto;Altotinto Elite I Albariño;1435;altotinto-elite-i-albarino.png
Blancos;México;Santa Elena;Santa Elena Sophie Blanco;1200;santa-elena-sophie-blanco.png
Blancos;México;Parvada;Parvada Blanco;1088;parvada-blanco.png
Blancos;México;Altotinto;Altotinto Chardonnay;910;altotinto-chardonnay.png
Blancos;México;Altotinto;Altotinto Sauvignon Blanc;910;altotinto-sauvignon-blanc.png
Blancos;Nueva Zelanda;Southern Ocean;Southern Ocean Sauvignon Blanc NZ;954;southern-ocean-sauvignon-blanc-nz.png
Blancos;USA;Titus Vineyards;Titus Sauvignon Blanc;2392;titus-sauvignon-blanc.png
Blancos;USA;Citation Wines;Citation Oregon Chardonnay;2146;citation-oregon-chardonnay.png
Blancos;USA;Artesa;Artesa Estate Vineyard Chardonnay;2093;artesa-estate-vineyard-chardonnay.png
Blancos;USA;Artesa;Artesa Napa Valley Sauvignon Blanc;1370;artesa-napa-valley-sauvignon-blanc.png
Blancos;USA;Murphy Goode;Murphy Goode Chardonnay;1392;murphy-goode-chardonnay.png
Blancos;USA;Murphy Goode;Murphy Goode Sauvignon Blanc;1261;murphy-goode-sauvignon-blanc.png
Blancos;USA;Airfield Estates;Airfield Estates Sauvignon Blanc;1363;airfield-estates-sauvignon-blanc.png
Blancos;USA;Granite Hill;Granite Hill Cellars Pinot Grigio;899;granite-hill-cellars-pinot-grigio.png
Blancos;USA;Granite Hill;Granite Hill Cellars Chardonnay;899;granite-hill-cellars-chardonnay.png
ROSADOS;;;;;
Rosados;España;Viña Pomal;Viña Pomal Rosado;692;vina-pomal-rosado.png
Rosados;España;Monteabellón (Avaniel);Avaniel Rosado;650;avaniel-rosado.png
Rosados;Francia;Mimi en Provence;Mimi En Provence Rosé;1428;mimi-en-provence-gamay.png
Rosados;México;Parvada;Parvada Rosado;1088;parvada-rosado.png
Rosados;USA;Artesa;Artesa Rosé;1370;artesa-rose.png
Rosados;USA;Art+Farm;The Girls in the Vineyard (White Zinfandel);563;the-girls-in-the-vineyard.png
TINTOS;;;;;
Tintos;Argentina;Mosquita Muerta;Mosquita Muerta Malcriado;6375;mosquita-muerta-malcriado.png
Tintos;Argentina;Mosquita Muerta;Mosquita Muerta Black;2963;mosquita-muerta-black.png
Tintos;Argentina;Mosquita Muerta;Mosquita Muerta Blend de Tintas;1936;mosquita-muerta-blend-de-tintas.png
Tintos;Argentina;Mosquita Muerta;Mosquita Muerta Blend de Malbec;1936;mosquita-muerta-blend-de-malbec.png
Tintos;Argentina;Finca El Origen;Finca El Origen Ícono PHI;2560;finca-el-origen-icono-phi.png
Tintos;Argentina;Finca El Origen;Finca El Origen Gran Reserva Malbec;1215;finca-el-origen-gran-reserva-malbec.png
Tintos;Argentina;Finca El Origen;Finca El Origen Gran Reserva Cabernet Sauvignon;1215;finca-el-origen-gran-reserva-cabernet-sauvignon.png
Tintos;Argentina;Finca El Origen;Finca El Origen Andes Blend;874;finca-el-origen-andes-blend.png
Tintos;Argentina;Séptima;Séptima Lote Especial Gran Reserva Malbec;1798;septima-lote-especial-gran-reserva-malbec.png
Tintos;Argentina;Séptima;Séptima Obra Malbec;777;septima-obra-malbec.png
Tintos;Argentina;Séptima;Séptima Obra Cabernet Franc;777;septima-obra-cabernet-franc.png
Tintos;Argentina;Séptima;Séptima Obra Cabernet Sauvignon;777;septima-obra-cabernet-sauvignon.png
Tintos;Chile;Casas Patronales;Casas Patronales Ñeque;2419;casas-patronales-neque.png
Tintos;Chile;Casas Patronales;Casas Patronales Sabio;2342;casas-patronales-sabio.png
Tintos;Chile;Casas Patronales;Casas Patronales Leal Gran Carmenere;1852;casas-patronales-leal-gran-carmenere.png
Tintos;Chile;Casas Patronales;Don Silvestre Ícono DS;1434;don-silvestre-icono-ds.png
Tintos;Chile;Casas Patronales;Casas Patronales Mixtura Red Blend;1225;casas-patronales-mixtura-red-blend.png
Tintos;Chile;Casas Patronales;Vigno Vignadores de Carignan;956;vigno-vignadores-de-carignan.png
Tintos;Chile;Casas Patronales;Casas Patronales Gran Reserva Syrah;876;casas-patronales-gran-reserva-syrah.png
Tintos;Chile;Casas Patronales;Casas Patronales Gran Reserva Carmenere;876;casas-patronales-gran-reserva-carmenere.png
Tintos;Chile;Casas Patronales;Casas Patronales Gran Reserva Cabernet Sauvignon;876;casas-patronales-gran-reserva-cabernet-sauvignon.png
Tintos;Chile;Viña Casablanca;Viña Casablanca Ícono Neblus Blend;2001;vina-casa-blanca-icono-neblus-blend.png
Tintos;Chile;Viña Casablanca;Viña Casablanca Ícono Neblus (Syrah/Pinot);2001;vina-casa-blanca-icono-neblus-syrah-pinot-noir.png
Tintos;Chile;Viña Casablanca;Viña Casablanca Nimbus Single Vineyard Merlot;867;vina-casa-blanca-nimbus-single-vineyard-merlot.png
Tintos;Chile;Viña Casablanca;Viña Casablanca Nimbus Single Vineyard Pinot Noir;867;vina-casa-blanca-nimbus-single-vineyard-pinot-noir.png
Tintos;Chile;Viña Casablanca;Viña Casablanca Nimbus Single Vineyard Cabernet Sauvignon;867;vina-casa-blanca-nimbus-single-vineyard-cabernet-sauvignon.png
Tintos;España;Monteabellón;Monteabellón Finca La Blanquera;4171;monteabellon-finca-la-blanquera.png
Tintos;España;Monteabellón;Monteabellón 24 Meses Finca Matambres;2277;monteabellon-24-meses-finca-matambres.png
Tintos;España;Monteabellón;Avaniel Crianza;1465;avaniel-crianza.png
Tintos;España;Monteabellón;Avaniel Roble;817;avaniel-roble.png
Tintos;España;Pago de Carraovejas;Pago de Carraovejas Crianza;2999;pago-de-carraovejas-crianza.png
Tintos;España;Viña Zaco;Viña Zaco Viñedo Singular;2922;vina-zaco-vinedo-singular.png
Tintos;España;La Vicalanda;La Vicalanda Gran Reserva;2730;la-vicalanda-gran-reserva.png
Tintos;España;Scala Dei;Scala Dei Priorat;2229;scala-dei-priorat.png
Tintos;España;Carmelo Rodero;Carmelo Rodero Crianza;2139;carmelo-rodero-crianza.png
Tintos;España;Carmelo Rodero;Carmelo Rodero 9 Meses;1637;carmelo-rodero-9-meses.png
Tintos;España;Legaris;Páramo de Legaris;1440;paramo-de-legaris.png
Tintos;España;Viña Pomal;Viña Pomal 106 Barricas;1440;vina-pomal-106-barricas.png
Tintos;España;Viña Pomal;Viña Pomal Reserva;1111;vina-pomal-reserva.png
Tintos;España;Finca Villacreces;Pruno Villacreces;1126;pruno-villacreces.png
Tintos;Francia;Smith Haut Lafitte;Le Petit Haut Lafitte Pessac Leognan;3626;le-petit-haut-lafitte-pessac-leognan.png
